Series Code,Topic,Indicator Name,iso1_all,iso2_all,iso3_all,iso4_all,iso5_all,iso6_all,iso7_all,iso8_all,iso9_all,iso10_all,iso2_0to25,N_0to25,Pearson_iso2_0to25,range_0to25,iso2_25to50,N_25to50,Pearson_iso2_25to50,range_25to50,iso2_50to75,N_50to75,Pearson_iso2_50to75,range_50to75,iso2_75to100,N_75to100,Pearson_iso2_75to100,range_75to100
AG.AGR.TRAC.NO,Environment: Agricultural production,"Agricultural machinery, tractors",,,,,,,,,,,0.361268296906972,365,0.331611633452211,-2.058 to -0.808,0.194503936957416,263,-0.160434650719672,-0.808 to -0.12,0.160763659147429,328,0.0949686221767993,-0.119 to 0.77,0.281840092647272,453,0.147656253287478,0.772 to 2.648
AG.CON.FERT.PT.ZS,Environment: Agricultural production,Fertilizer consumption (% of fertilizer production),,,,,,,,,,,0.197069086513527,561,0.00662772830470133,-2.058 to -0.808,0.184126604405923,609,-0.108332099575157,-0.808 to -0.12,0.228648787125264,418,0.199602170728168,-0.119 to 0.77,0.156531747777145,575,-0.0806448770512478,0.772 to 2.648
AG.CON.FERT.ZS,Environment: Agricultural production,Fertilizer consumption (kilograms per hectare of arable land),0.459213500492192,0.238923058616344,0.150975142401048,0.0868319438102966,0.270215010681722,0.120424531070446,0.141770344143445,0.12936455656704,0.110881292112393,0.100569687025558,0.143573233522278,1064,-0.131031904990354,-2.058 to -0.808,0.0916000212999886,998,-0.00096241421077798,-0.808 to -0.12,0.210435769446015,912,-0.107902327407274,-0.119 to 0.77,0.219004139423728,1110,-0.0394550660755349,0.772 to 2.648
AG.LND.AGRI.K2,Environment: Land use,Agricultural land (sq. km),,,,,,,,,,,0.182543084893549,1186,0.155323220943763,-2.058 to -0.808,0.130084944271676,1153,-0.0959518893014829,-0.808 to -0.12,0.11377272664585,1140,-0.0138054860214644,-0.119 to 0.77,0.161970330964232,1166,-0.0872295855600812,0.772 to 2.648
AG.LND.AGRI.ZS,Environment: Land use,Agricultural land (% of land area),0.116755454251449,0.24147641290846,0.191548964347872,0.1117437497726,0.189609911323853,0.22734728468681,0.105399681385907,0.101084452735631,0.240542785607372,0.182679356995243,0.314512635065456,1186,0.19551931190003,-2.058 to -0.808,0.14327947995798,1153,0.126049820130799,-0.808 to -0.12,0.12390511414554,1140,0.0705834831383442,-0.119 to 0.77,0.13980922015856,1166,0.101414773027256,0.772 to 2.648
AG.LND.ARBL.HA,Environment: Land use,Arable land (hectares),,,,,,,,,,,0.19517667928213,1186,0.171102081832107,-2.058 to -0.808,0.0986064153673773,1137,0.0277852887204039,-0.808 to -0.12,0.0970719329583624,1132,0.0176367086377197,-0.119 to 0.77,0.144352997735163,1157,0.0891965243253792,0.772 to 2.648
AG.LND.ARBL.HA.PC,Environment: Land use,Arable land (hectares per person),0.227859465408933,0.39614301036973,0.155319339845912,0.109806036400558,0.185987638770615,0.210702585896066,0.201940806309383,0.171243949860796,0.322616184095226,0.101943785501959,0.192275988795049,1186,0.187844467936747,-2.058 to -0.808,0.0956723680757479,1137,-0.0272446902304425,-0.808 to -0.12,0.202975901906065,1132,0.1206419177655,-0.119 to 0.77,0.523164649170535,1157,0.366642797247248,0.772 to 2.648
AG.LND.ARBL.ZS,Environment: Land use,Arable land (% of land area),0.222337001869993,0.33001100528714,0.133672547579412,0.132410282366153,0.12237516393844,0.371731985596788,0.108680839521765,0.0872128955511847,0.0763050257839749,0.123296962997693,0.195036431724752,1186,0.190316622381129,-2.058 to -0.808,0.270204138264294,1153,0.276229439240778,-0.808 to -0.12,0.102987568688929,1140,-0.075455867678572,-0.119 to 0.77,0.484496141258423,1157,0.507588660421041,0.772 to 2.648
AG.LND.CREL.HA,Environment: Agricultural production,Land under cereal production (hectares),,,,,,,,,,,0.212625124217323,1140,0.197577337065864,-2.058 to -0.808,0.121420075751834,1119,0.0516319700603431,-0.808 to -0.12,0.0689137416192142,1153,-0.016897902276844,-0.119 to 0.77,0.14162112382843,1190,-0.023971491535008,0.772 to 2.648
AG.LND.CROP.ZS,Environment: Land use,Permanent cropland (% of land area),0.152537950443711,0.151589531773589,0.134963452336536,0.148018277380702,0.155938933648097,0.35983594973774,0.124401655413923,0.127146522835542,0.220971263222635,0.172357277725126,0.119693226277209,1168,0.0819023212181493,-2.058 to -0.808,0.102708122509479,1123,-0.020043627750574,-0.808 to -0.12,0.0833054145536808,1140,-0.0113754900008073,-0.119 to 0.77,0.135315333233774,1157,-0.0821618994079626,0.772 to 2.648
