Series Code,Topic,Indicator Name,iso1_all_all,iso2_all_all,iso3_all_all,iso4_all_all,iso5_all_all,iso6_all_all,iso7_all_all,iso8_all_all,iso9_all_all,iso10_all_all,iso3_0to25,N_0to25,Pearson_iso3_0to25,range_0to25,iso3_25to50,N_25to50,Pearson_iso3_25to50,range_25to50,iso3_50to75,N_50to75,Pearson_iso3_50to75,range_50to75,iso3_75to100,N_75to100,Pearson_iso3_75to100,range_75to100
AG.AGR.TRAC.NO,Environment: Agricultural production,"Agricultural machinery, tractors",,,,,,,,,,,0.147040948064767,562,0.0476365012295975,-2.751 to -0.802,0.148229275522193,282,0.0337667937090837,-0.801 to 0.244,0.162124831846009,260,0.118023462295159,0.245 to 0.784,0.283591703295096,306,0.236202567602441,0.784 to 2.152
AG.CON.FERT.PT.ZS,Environment: Agricultural production,Fertilizer consumption (% of fertilizer production),,,,,,,,,,,0.0959287340788851,866,0.0593894087518985,-2.751 to -0.802,0.120266203944538,402,0.0497341884412125,-0.801 to 0.244,0.164937575847902,370,0.176661192792302,0.245 to 0.784,0.201631921749607,525,-0.132501801573057,0.784 to 2.152
AG.CON.FERT.ZS,Environment: Agricultural production,Fertilizer consumption (kilograms per hectare of arable land),0.459213500492192,0.238923058616344,0.150975142401048,0.0868319438102966,0.270215010681722,0.120424531070446,0.141770344143445,0.12936455656704,0.110881292112393,0.100569687025558,0.103294646296026,1092,0.042883488163417,-2.751 to -0.802,0.0897507871754385,930,-0.0402690282197903,-0.801 to 0.244,0.169230484329541,1015,0.155138566756865,0.245 to 0.784,0.183625825565652,1048,-0.0725685881575327,0.784 to 2.152
AG.LND.AGRI.K2,Environment: Land use,Agricultural land (sq. km),,,,,,,,,,,0.157619750011875,1174,0.0400275587080326,-2.751 to -0.802,0.117595955886416,1150,-0.0583138121272523,-0.801 to 0.244,0.073519863104147,1164,-0.0233097679018011,0.245 to 0.784,0.241204981138359,1158,0.17423352310961,0.784 to 2.152
AG.LND.AGRI.ZS,Environment: Land use,Agricultural land (% of land area),0.116755454251449,0.24147641290846,0.191548964347872,0.1117437497726,0.189609911323853,0.22734728468681,0.105399681385907,0.101084452735631,0.240542785607372,0.182679356995243,0.209667898266736,1174,0.15404582898008,-2.751 to -0.802,0.217494452769836,1150,-0.210223788352809,-0.801 to 0.244,0.0843611490676047,1164,-0.0455516075680421,0.245 to 0.784,0.18005214010298,1158,0.0995393910654366,0.784 to 2.152
AG.LND.ARBL.HA,Environment: Land use,Arable land (hectares),,,,,,,,,,,0.133540510013926,1153,0.0893497680767937,-2.751 to -0.802,0.128246509760635,1144,-0.00769733799259261,-0.801 to 0.244,0.0885010080644485,1159,0.0188401680524506,0.245 to 0.784,0.231164402112621,1157,0.181730696892638,0.784 to 2.152
AG.LND.ARBL.HA.PC,Environment: Land use,Arable land (hectares per person),0.227859465408933,0.39614301036973,0.155319339845912,0.109806036400558,0.185987638770615,0.210702585896066,0.201940806309383,0.171243949860796,0.322616184095226,0.101943785501959,0.106586205306331,1153,0.0659237376299739,-2.751 to -0.802,0.153200555089954,1144,-0.0818868694476308,-0.801 to 0.244,0.0964330171673246,1159,0.0361459874430532,0.245 to 0.784,0.200197659540339,1157,0.180951483715736,0.784 to 2.152
AG.LND.ARBL.ZS,Environment: Land use,Arable land (% of land area),0.222337001869993,0.33001100528714,0.133672547579412,0.132410282366153,0.12237516393844,0.371731985596788,0.108680839521765,0.0872128955511847,0.0763050257839749,0.123296962997693,0.253615120035599,1165,0.226372564932281,-2.751 to -0.802,0.121431226930415,1150,-0.0865264398454657,-0.801 to 0.244,0.0823164705768096,1164,0.0287046065557156,0.245 to 0.784,0.158273030802459,1158,0.114735028780553,0.784 to 2.152
AG.LND.CREL.HA,Environment: Agricultural production,Land under cereal production (hectares),,,,,,,,,,,0.132369275857623,1165,0.10171432617706,-2.751 to -0.802,0.126782010211858,1150,-0.0710788121638911,-0.801 to 0.244,0.0730134504719032,1122,0.0330541563827303,0.245 to 0.784,0.218201417447324,1165,0.150608881570116,0.784 to 2.152
AG.LND.CROP.ZS,Environment: Land use,Permanent cropland (% of land area),0.152537950443711,0.151589531773589,0.134963452336536,0.148018277380702,0.155938933648097,0.35983594973774,0.124401655413923,0.127146522835542,0.220971263222635,0.172357277725126,0.125208713044382,1145,-0.0116199985862918,-2.751 to -0.802,0.198758630284707,1149,0.124436580297759,-0.801 to 0.244,0.0782982615041281,1164,-0.00205360941414568,0.245 to 0.784,0.302733309558341,1131,-0.267585582189525,0.784 to 2.152
